#data for Fig. 3(a)
#rms dynamics for effective model. See SM for more details.

#Parameters: J_perp = 5t, J_parallel = 0.

#tau: evolution time

#Delta_rms: root-mean-square of Delta = (x1 - x2)/2
#Delta_std: standard error on Delta_rms estimated from sampling 

#X_rms: root-mean-square of X = (x1 + x2)/2
#norm: norm of wave function (should be 1 always)

tau 	  X_rms	 	 norm
8.7000000 5.2204762 1.0000000
8.7250000 5.2298624 1.0000000
8.7500000 5.2392319 1.0000000
8.7750000 5.2485846 1.0000000
8.8000000 5.2579203 1.0000000
8.8250000 5.2672389 1.0000000
8.8500000 5.2765403 1.0000000
8.8750000 5.2858242 1.0000000
8.9000000 5.2950906 1.0000000
8.9250000 5.3043393 1.0000000
8.9500000 5.3135703 1.0000000
8.9750000 5.3227835 1.0000000
9.0000000 5.3319786 1.0000000
9.0250000 5.3411558 1.0000000
9.0500000 5.3503149 1.0000000
9.0750000 5.3594559 1.0000000
9.1000000 5.3685788 1.0000000
9.1250000 5.3776834 1.0000000
9.1500000 5.3867699 1.0000000
9.1750000 5.3958382 1.0000000
9.2000000 5.4048883 1.0000000
9.2250000 5.4139204 1.0000000
9.2500000 5.4229344 1.0000000
9.2750000 5.4319304 1.0000000
9.3000000 5.4409086 1.0000000
9.3250000 5.4498691 1.0000000
9.3500000 5.4588120 1.0000000
9.3750000 5.4677376 1.0000000
9.4000000 5.4766459 1.0000000
9.4250000 5.4855373 1.0000000
9.4500000 5.4944120 1.0000000
9.4750000 5.5032702 1.0000000
9.5000000 5.5121122 1.0000000
9.5250000 5.5209383 1.0000000
9.5500000 5.5297488 1.0000000
9.5750000 5.5385441 1.0000000
9.6000000 5.5473244 1.0000000
9.6250000 5.5560901 1.0000000
9.6500000 5.5648416 1.0000000
9.6750000 5.5735790 1.0000000
9.7000000 5.5823029 1.0000000
9.7250000 5.5910134 1.0000000
9.7500000 5.5997109 1.0000000
9.7750000 5.6083956 1.0000000
9.8000000 5.6170677 1.0000000
9.8250000 5.6257276 1.0000000
9.8500000 5.6343753 1.0000000
9.8750000 5.6430110 1.0000000
9.9000000 5.6516349 1.0000000
9.9250000 5.6602470 1.0000000
9.9500000 5.6688473 1.0000000
9.9750000 5.6774359 1.0000000
10.0000000 5.6860127 1.0000000
10.0250000 5.6945776 1.0000000
10.0500000 5.7031305 1.0000000
10.0750000 5.7116714 1.0000000
10.1000000 5.7201999 1.0000000
10.1250000 5.7287159 1.0000000
10.1500000 5.7372192 1.0000000
10.1750000 5.7457096 1.0000000
10.2000000 5.7541868 1.0000000
10.2250000 5.7626505 1.0000000
10.2500000 5.7711006 1.0000000
10.2750000 5.7795367 1.0000000
10.3000000 5.7879587 1.0000000
10.3250000 5.7963663 1.0000000
10.3500000 5.8047594 1.0000000
10.3750000 5.8131379 1.0000000
10.4000000 5.8215016 1.0000000
10.4250000 5.8298504 1.0000000
10.4500000 5.8381845 1.0000000
10.4750000 5.8465037 1.0000000
10.5000000 5.8548082 1.0000000
10.5250000 5.8630982 1.0000000
10.5500000 5.8713738 1.0000000
10.5750000 5.8796352 1.0000000
10.6000000 5.8878829 1.0000000
10.6250000 5.8961172 1.0000000
10.6500000 5.9043384 1.0000000
10.6750000 5.9125470 1.0000000
10.7000000 5.9207435 1.0000000
10.7250000 5.9289284 1.0000000
10.7500000 5.9371023 1.0000000
10.7750000 5.9452658 1.0000000
10.8000000 5.9534193 1.0000000
10.8250000 5.9615636 1.0000000
10.8500000 5.9696992 1.0000000
10.8750000 5.9778266 1.0000000
10.9000000 5.9859463 1.0000000
10.9250000 5.9940590 1.0000000
10.9500000 6.0021651 1.0000000
10.9750000 6.0102649 1.0000000
11.0000000 6.0183589 1.0000000
11.0250000 6.0264475 1.0000000
11.0500000 6.0345308 1.0000000
11.0750000 6.0426091 1.0000000
11.1000000 6.0506824 1.0000000
11.1250000 6.0587509 1.0000000
11.1500000 6.0668144 1.0000000
11.1750000 6.0748730 1.0000000
11.2000000 6.0829263 1.0000000
11.2250000 6.0909742 1.0000000
11.2500000 6.0990163 1.0000000
11.2750000 6.1070523 1.0000000
11.3000000 6.1150816 1.0000000
11.3250000 6.1231039 1.0000000
11.3500000 6.1311184 1.0000000
11.3750000 6.1391246 1.0000000
11.4000000 6.1471219 1.0000000
11.4250000 6.1551095 1.0000000
11.4500000 6.1630868 1.0000000
11.4750000 6.1710531 1.0000000
11.5000000 6.1790077 1.0000000
11.5250000 6.1869499 1.0000000
11.5500000 6.1948788 1.0000000
11.5750000 6.2027940 1.0000000
11.6000000 6.2106947 1.0000000
11.6250000 6.2185803 1.0000000
11.6500000 6.2264502 1.0000000
11.6750000 6.2343038 1.0000000
11.7000000 6.2421408 1.0000000
11.7250000 6.2499606 1.0000000
11.7500000 6.2577629 1.0000000
11.7750000 6.2655473 1.0000000
11.8000000 6.2733136 1.0000000
11.8250000 6.2810616 1.0000000
11.8500000 6.2887911 1.0000000
11.8750000 6.2965020 1.0000000
11.9000000 6.3041943 1.0000000
11.9250000 6.3118680 1.0000000
11.9500000 6.3195232 1.0000000
11.9750000 6.3271600 1.0000000
12.0000000 6.3347785 1.0000000
12.0250000 6.3423790 1.0000000
12.0500000 6.3499616 1.0000000
12.0750000 6.3575266 1.0000000
12.1000000 6.3650744 1.0000000
12.1250000 6.3726051 1.0000000
12.1500000 6.3801190 1.0000000
12.1750000 6.3876166 1.0000000
12.2000000 6.3950981 1.0000000
12.2250000 6.4025638 1.0000000
12.2500000 6.4100140 1.0000000
12.2750000 6.4174490 1.0000000
12.3000000 6.4248691 1.0000000
12.3250000 6.4322745 1.0000000
12.3500000 6.4396655 1.0000000
12.3750000 6.4470423 1.0000000
12.4000000 6.4544051 1.0000000
12.4250000 6.4617539 1.0000000
12.4500000 6.4690891 1.0000000
12.4750000 6.4764105 1.0000000
12.5000000 6.4837185 1.0000000
12.5250000 6.4910128 1.0000000
12.5500000 6.4982937 1.0000000
12.5750000 6.5055610 1.0000000
12.6000000 6.5128148 1.0000000
12.6250000 6.5200549 1.0000000
12.6500000 6.5272814 1.0000000
12.6750000 6.5344940 1.0000000
12.7000000 6.5416926 1.0000000
12.7250000 6.5488772 1.0000000
12.7500000 6.5560476 1.0000000
12.7750000 6.5632036 1.0000000
12.8000000 6.5703451 1.0000000
12.8250000 6.5774718 1.0000000
12.8500000 6.5845836 1.0000000
12.8750000 6.5916803 1.0000000
12.9000000 6.5987618 1.0000000
12.9250000 6.6058279 1.0000000
12.9500000 6.6128784 1.0000000
12.9750000 6.6199132 1.0000000
13.0000000 6.6269322 1.0000000
13.0250000 6.6339352 1.0000000
13.0500000 6.6409222 1.0000000
13.0750000 6.6478932 1.0000000
13.1000000 6.6548479 1.0000000
13.1250000 6.6617866 1.0000000
13.1500000 6.6687091 1.0000000
13.1750000 6.6756155 1.0000000
13.2000000 6.6825059 1.0000000
13.2250000 6.6893804 1.0000000
13.2500000 6.6962391 1.0000000
13.2750000 6.7030822 1.0000000
13.3000000 6.7099099 1.0000000
13.3250000 6.7167225 1.0000000
13.3500000 6.7235202 1.0000000
13.3750000 6.7303033 1.0000000
13.4000000 6.7370722 1.0000000
13.4250000 6.7438272 1.0000000
13.4500000 6.7505688 1.0000000
13.4750000 6.7572974 1.0000000
13.5000000 6.7640133 1.0000000
13.5250000 6.7707172 1.0000000
13.5500000 6.7774094 1.0000000
13.5750000 6.7840905 1.0000000
13.6000000 6.7907610 1.0000000
13.6250000 6.7974214 1.0000000
13.6500000 6.8040722 1.0000000
13.6750000 6.8107140 1.0000000
13.7000000 6.8173473 1.0000000
13.7250000 6.8239725 1.0000000
13.7500000 6.8305902 1.0000000
13.7750000 6.8372009 1.0000000
13.8000000 6.8438049 1.0000000
13.8250000 6.8504028 1.0000000
13.8500000 6.8569949 1.0000000
13.8750000 6.8635816 1.0000000
13.9000000 6.8701632 1.0000000
13.9250000 6.8767400 1.0000000
13.9500000 6.8833122 1.0000000
13.9750000 6.8898801 1.0000000
